DATAFLOW,LAST UPDATE,freq,c_birth,isced11,barrier,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 15 to 24 years,Males,Thousand persons,Spain,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 15 to 24 years,Males,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Females,Thousand persons,Spain,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Females,Thousand persons,Hungary,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Females,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Females,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Males,Thousand persons,Austria,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Males,Thousand persons,Belgium,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Males,Thousand persons,Switzerland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Males,Thousand persons,Greece,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Males,Thousand persons,Spain,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Males,Thousand persons,Croatia,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Males,Thousand persons,Hungary,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 25 to 54 years,Males,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 55 to 74 years,Females,Thousand persons,France,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Citizenship or residence permit,From 55 to 74 years,Males,Thousand persons,France,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Females,Thousand persons,Belgium,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Females,Thousand persons,Spain,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Females,Thousand persons,France,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Females,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Females,Thousand persons,Luxembourg,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Females,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Males,Thousand persons,Cyprus,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Males,Thousand persons,Czechia,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Males,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Males,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Males,Thousand persons,Luxembourg,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Males,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 25 to 54 years,Males,Thousand persons,Portugal,2021,,u,
